sku,images,"m.value) SEPARATOR '|')"""
C-ICL24SEP15211G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15211G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15211G_001.jpg,
C-ICL24SEP15250P,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15250P_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15250P_001.jpg,
C-ICL24SEP15250W,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15250W_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15250W_001.jpg,
C-ICL24SEP15338W,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15338W_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15338W_001.jpg,
C-ICL24SEP15250B,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15250B_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15250B_001.jpg,
C-ICL24SEP15113G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15113G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15113G_001.jpg,
C-ICL24SEP15200W,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15200W_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15200W_001.jpg,
C-ICL24SEP15125B,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15125B_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15125B_001.jpg,
C-ICL24SEP15200G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15200G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15200G_001.jpg,
C-ICL24SEP15213G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15213G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15213G_001.jpg,
C-ICL24SEP15800G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15800G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15800G_001.jpg,
C-ICL24SEP15500W,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500W_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500W_001.jpg,
C-ICL24SEP15100G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15100G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15100G_001.jpg,
C-ICL24SEP15500B,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500B_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500B_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500B_02.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500B_03.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500B_04.jpg,
C-ICL24SEP15500G,http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500G_02.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500G_03.jpg|http://assets8.exclusively.com/media/catalog/product/2/8/280915_C_ICL24SEP15500G_04.jpg,
C-IC4NOV15IN405G,http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN405G_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN405G_001.jpg,
C-IC4NOV15IN203B,http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN203B_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN203B_001.jpg,
C-IC4NOV15IN360B,http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN360B_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN360B_001.jpg,
C-IC4NOV15IN203P,http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN203P_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN203P_001.jpg,
