store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15211G,0,Jhumka Earrings with Black Onyx and Aventurine,jhumka-earrings-with-black-onyx-and-aventurine-c-icl24sep15211g-indiancultr,Green,Earrings,accessories/earrings,IN211G,7,7 Days,Cultr Fashion & Lifestyle LLP,,49,1800,2,4,No,ONESIZE,0,0,1,Non Returnable,"Golden hand crafted earrings encrusted with semi precious stones  black onyx and aventurine, green beads and etched jhumka drop. <ul><li>Closure: Push back</li></ul>","<li>Length 2.3""; Width 1.3""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15250P,0,Golden Floral Earrings with Fuchsia Stones,golden-floral-earrings-with-fuchsia-stones-c-icl24sep15250p-indiancultr,Pink,Earrings,accessories/earrings,IN250P,7,7 Days,Cultr Fashion & Lifestyle LLP,,52,2100,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden hand crafted earrings adorned with fuchsia stones and floral textured motifs. <ul><li>Closure: Push back</li></ul>,"<li>Length 1.7""; Width 1.7""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15250W,0,Jhumka Earrings with Pink Stones,jhumka-earrings-with-pink-stones-c-icl24sep15250w-indiancultr,Pink,Earrings,accessories/earrings,IN250W,7,7 Days,Cultr Fashion & Lifestyle LLP,,52,2100,2,4,No,ONESIZE,0,0,1,Non Returnable,"Golden hand crafted earrings studded with pink and green semi precious stones, crystals and pearls. <ul><li>Closure: Push back</li></ul>","<li>Length 2.3""; Width 1.2""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15338W,0,Crescent Earrings with Pearls,crescent-earrings-with-pearls-c-icl24sep15338w-indiancultr,Gold,Earrings,accessories/earrings,IN338W,7,7 Days,Cultr Fashion & Lifestyle LLP,,71,2900,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden hand crafted crescent shaped earrings adorned with pearls. <ul><li>Closure: Push back</li></ul>,"<li>Length 3.7""; Width 2.1""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15250B,0,Paisley Earrings with Turquoise Drop,paisley-earrings-with-turquoise-drop-c-icl24sep15250b-indiancultr,Turquoise,Earrings,accessories/earrings,IN250B,7,7 Days,Cultr Fashion & Lifestyle LLP,,52,2100,2,4,No,ONESIZE,0,0,1,Non Returnable,"Golden hand crafted paisley earrings adorned with intricate etchings, aventurine and turquoise stone drop. <ul><li>Closure: Push back</li></ul>","<li>Length 2.6""; Width 1""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15113G,0,Golden Floral Filigree Work Earrings,golden-floral-filigree-work-earrings-c-icl24sep15113g-indiancultr,Green,Earrings,accessories/earrings,IN113G,7,7 Days,Cultr Fashion & Lifestyle LLP,,49,1000,2,4,No,ONESIZE,0,0,1,Non Returnable,"Golden hand crafted earrings adorned with floral filigree work, zircons and aventurine stone. <ul><li>Closure: Push back</li></ul>","<li>Length 2.5""; Width 1.5""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15200W,0,Golden Foil Earrings,golden-foil-earrings-c-icl24sep15200w-indiancultr,Gold,Earrings,accessories/earrings,IN200W,7,7 Days,Cultr Fashion & Lifestyle LLP,,49,1700,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden hand crafted foil earrings adorned with black bead drop and crystals. <ul><li>Closure: Push back</li></ul>,"<li>Length 3.4""; Width 1.5""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15125B,0,Contemporary Earrings with Lapis Lazuli,contemporary-earrings-with-lapis-lazuli-c-icl24sep15125b-indiancultr,Blue,Earrings,accessories/earrings,IN125B,7,7 Days,Cultr Fashion & Lifestyle LLP,,49,1100,2,4,No,ONESIZE,0,0,1,Non Returnable,"Golden hand crafted contemporary earrings adorned with intricate etchings, lapis lazuli and turquoise stones. <ul><li>Closure: Push back</li></ul>","<li>Length 2.3""; Width 1""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15200G,0,Golden Circular Motif Foil Earrings,golden-circular-motif-foil-earrings-c-icl24sep15200g-indiancultr,Gold,Earrings,accessories/earrings,IN200G,7,7 Days,Cultr Fashion & Lifestyle LLP,,49,1700,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden hand crafted foil earrings adorned with crystals and circular motifs. <ul><li>Closure: Push back</li></ul>,"<li>Length 3.5""; Width 1.6""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"2959,35",C-ICL24SEP15213G,0,Leaf Earrings with Purple Rhinestones,leaf-earrings-with-purple-rhinestones-c-icl24sep15213g-indiancultr,Purple,Earrings,accessories/earrings,IN213G,7,7 Days,Cultr Fashion & Lifestyle LLP,,49,1800,2,4,No,ONESIZE,0,0,1,Non Returnable,Golden hand crafted leaf earrings adorned with purple rhinestones. <ul><li>Closure: Push back</li></ul>,"<li>Length 2.3""; Width 1""</li>",Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Nishtha,,,None,Indiancultr,designers/indiancultr,0
