store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N227R,2300,61,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N360M,3600,95,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N223M,2300,61,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N315M,3200,84,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N360S,3600,95,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N350S,3500,92,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N350G,3500,92,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N355G,3600,95,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N400M,4000,105,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N800R,1800,49,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N600T,1200,49,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N500R,1200,49,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N500M,1200,49,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N500S,1200,49,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15500SM,1200,49,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N113W,2300,61,6,6 days
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N113W,2300,61,6,6 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N227R,2300,3335,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N360M,3600,5220,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N223M,2300,3335,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N315M,3200,4640,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N360S,3600,5220,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N350S,3500,5075,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N350G,3500,5075,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N355G,3600,5220,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N400M,4000,5800,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N800R,1800,2610,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N600T,1200,1740,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N500R,1200,1740,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N500M,1200,1740,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N500S,1200,1740,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15500SM,1200,1740,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N113W,2300,3335,3,3 days
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N113W,2300,3335,3,3 days
