store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_code,warehouse_code
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,75",RPSC11157,0,Hand-Carved Lord Ganesha Silver Cuff,hand-carved-lord-ganesha-silver-cuff-rpsc11157,Silver,Cuff,jewelry/cuff,RPSC11157,7,7 days,Amethyst,,13900,10425,2,4,No,NA,0,0,1,Non Returnable,"Inspired by bold and intricate designs of tribal jewelry, Rahul Popli presents a carved cuff. Made from 92.5 sterling silver, it has Lord Ganesha carved on the front with open back for easy slip on.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 116</li></ul>",NA,Silver,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,7,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,75",RPSC11159,0,Engraved Lord Ganesha Silver Cuff,engraved-lord-ganesha-silver-cuff-rpsc11159,Silver,Cuff,jewelry/cuff,RPSC11159,24,3 to 4 Weeks,Amethyst,,9650,7237,2,4,No,NA,0,0,1,Non Returnable,"Rahul Popli's Lord Ganesha cuff is inspired by bold and intricate designs of tribal jewelry. Crafted from sterling silver, it has Lord Ganesha engraved on top and has open back for easy slip on.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 76</li></ul>",NA,Silver,10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,6",RPSN10626,0,Silver Necklace With Hand-Painted Lord Ganesha Pendant,silver-necklace-with-hand-painted-lord-ganesha-pendant-rpsn10626,Silver,Necklace,jewelry/necklace,RPSN10626,7,7 days,Amethyst,,26900,20175,2,4,No,NA,0,0,1,Non Returnable,"Rahul Popli presents peacock necklace from the tribal muse collection. Crafted from sterling silver, it is punctuated with painted Lord Ganesha coins and silver bead drops all around. Wear it as a statement piece over a simple outfit.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 234.64</li></ul>",NA,Silver,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,7,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,6",RPSN11367,0,Tribal Floral Silver Necklace,tribal-floral-silver-necklace-rpsn11367,Silver,Necklace,jewelry/necklace,RPSN11367,24,3 to 4 Weeks,Amethyst,,17950,13462,2,4,No,NA,0,0,1,Non Returnable,"Rahul Popli's embellished necklace is a statement piece. Set in silver, this red and green cord necklace has multicolored stones around it. Its standout feature is the floral pendant with bead drops.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver, Gemstones, Cotton</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 179.45</li></ul>",NA,"Silver, Gemstones, Cotton",10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,6",RPSN11684,0,Comb Style Silver Pendant Necklace,comb-style-silver-pendant-necklace-rpsn11684,Silver,Necklace,jewelry/necklace,RPSN11684,24,3 to 4 Weeks,Amethyst,,18900,14175,2,4,No,NA,0,0,1,Non Returnable,Featuring a sterling silver chain necklace with comb style pendant. This long chain is finished with carving on the pendant along with peacocks for a touch of quirkiness.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 110.95</li></ul>,NA,Silver,10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,6",RPSN10345,0,Silver Choker Necklace With Filigree Work,silver-choker-necklace-with-filigree-work-rpsn10345,Silver,Necklace,jewelry/necklace,RPSN10345,7,7 days,Amethyst,,14900,11175,2,4,No,NA,0,0,1,Non Returnable,"Taking inspiration from Indian tribe, Rahul Popli gives a contemporary twist to this choker necklace. Crafted from sterling silver, this open choker has filigree work carved all over.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 136</li></ul>",NA,Silver,2,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,7,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,7",RPSB11652,0,Silver Bracelet With Coins,silver-bracelet-with-coins-rpsb11652,Silver,Bracelet,jewelry/bracelet,RPSB11652,7,7 days,Amethyst,,8450,6337,2,4,No,NA,0,0,1,Non Returnable,"Add a statement touch to your everyday attire with this coin embellished bracelet. Made from sterling silver, it is punctuated with floral carved coins set in beaded chain. It also features toggle clasp with floral carved coin hanging.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 86.69</li></ul>",NA,Silver,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,7,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,73",RPSC09462,0,Floral Silver Bangle With Beads,floral-silver-bangle-with-beads-rpsc09462,Silver,Bangle ,jewelry/bangle ,RPSC09462,7,7 days,Amethyst,,11900,8925,2,4,No,NA,0,0,1,Non Returnable,Rahul Popli presents sterling silver bangle fully embellished with beads and finished with floral accents. Stack it up with coordinated bangles for added impact.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 123.42</li></ul>,NA,Silver,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,7,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,75",RPSC10350,0,Elephant Engraved Silver Cuff,elephant-engraved-silver-cuff-rpsc10350,Silver,Cuff,jewelry/cuff,RPSC10350,24,3 to 4 Weeks,Amethyst,,8650,6487,2,4,No,NA,0,0,1,Non Returnable,"Rahul Popli's elephant cuff is an off-beat take on accessories. Crafted from sterling silver, it is engraved with elephant motif and floral all around and finished with open back for perfect fit.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 110.46</li></ul>",NA,Silver,10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,75",RPSC11260,0,Elephant Silver Cuff With Filigree Work,elephant-silver-cuff-with-filigree-work-rpsc11260,Silver,Cuff,jewelry/cuff,RPSC11260,24,3 to 4 Weeks,Amethyst,,6350,4762,2,4,No,NA,0,0,1,Non Returnable,"This elephant cuff is the best example of beauty in simple things. Made from sterling silver, this open bangle is carved with filigree work all over and features elephant head on the edges. <ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 62.38</li></ul>",NA,Silver,10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,45",RPSR11655,0,Floral Two Tone Silver Ring,floral-two-tone-silver-ring-rpsr11655,Silver,Ring,jewelry/ring,RPSR11655,24,3 to 4 Weeks,Amethyst,,2450,1837,2,4,No,NA,0,0,1,Non Returnable,"Featuring an adjustable ring made of silver, outlined with spikes. The striking design features two tone flower motif in the center.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 22.75</li></ul>",NA,Silver,10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,5",RPOE11554,0,Silver Chandelier Earrings With Pearls,silver-chandelier-earrings-with-pearls-rpoe11554,Silver,Earrings,jewelry/earrings,RPOE11554,7,7 days,Amethyst,,14950,11212,2,4,No,NA,0,0,1,Non Returnable,"Featuring chandelier style earrings with blue stone accents casted in sterling silver. It is decorated with pink stone studded peacock motif in the center and finished with faux pearl drops. <ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver, Pearls, Pink & Blue Stones</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 69.03</li></ul>",NA,"Silver, Pearls, Pink & Blue Stones",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,7,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,91,90,3,5",RPSE11654,0,Floral Silver Earrings With Coins,floral-silver-earrings-with-coins-rpse11654,Silver,Earrings,jewelry/earrings,RPSE11654,24,3 to 4 Weeks,Amethyst,,3950,2962,2,4,No,NA,0,0,1,Non Returnable,"Featuring a pair of antique finish earrings made of sterling silver. It has a coin head with round spoked hanging, detailed with two tone flower motif in the center.<ul><li>Color: Silver</li><li>Measurements: NA</li><li>Materials: Silver</li><li>Care: Avoid water and perfume.</li><li>Weight (GRAMS): 41.31</li></ul>",NA,Silver,10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Amethyst by Rahul Popli,designers/amethyst by rahul popli,24,EX000000,EX_FC_VL_DEL_KAP
