store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2228,3400,129,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2229,1700,64,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2230,1700,64,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2231,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2232,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2233,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2234,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2235,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2236,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2237,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2238,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2239,2500,93,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2240,1450,55,30,30 days
"store_us,global_m_sv","app_us,global_m_web",IN09OCT2241,1450,55,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2228,3400,6800,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2229,1700,3400,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2230,1700,3400,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2231,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2232,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2233,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2234,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2235,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2236,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2237,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2238,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2239,2500,5000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2240,1450,2900,30,30 days
"store_in,india_m_sv","app_in,india_m_web",IN09OCT2241,1450,2900,30,30 days
