store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type,vendor_code
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA002,0,Metallic Hand-embroidered Clutch with Sequins ,metallic-hand-embroidered-clutch-with-sequins-ba002,Copper,Clutch,accessories/bags,BA002,10,10 days,Bonitoange,,2125,850,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Copper</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Garnet",3,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA003,0,Hand-embroidered Clutch with Sequins,hand-embroidered-clutch-with-sequins-ba003,Copper,Clutch,accessories/bags,BA003,10,10 days,Bonitoange,,2750,1100,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Copper</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Turquoise",11,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA008,0,Black Hand-embroidered Beaded Clutch with Scallop,black-hand-embroidered-beaded-clutch-with-scallop-ba008,"Black, Dull Golden",Clutch,accessories/bags,BA008,10,10 days,Bonitoange,,2125,850,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Black, Dull Golden</li><li>Measurements: One Size</li><li>Material(s): Polyester, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Kundan, Garnet, Pearls",8,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA009,0,"Black, Golden Hand-embroidered Beaded Clutch","black,-golden-hand-embroidered-beaded-clutch-ba009","Black, Golden",Clutch,accessories/bags,BA009,10,10 days,Bonitoange,,2375,950,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Black, Golden</li><li>Measurements: One Size</li><li>Material(s): Polyester, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Turquoise",10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA010,0,"Pink, Silver Hand-embroidered Beaded Clutch","pink,-silver-hand-embroidered-beaded-clutch-ba010","Pink, Silver ",Clutch,accessories/bags,BA010,10,10 days,Bonitoange,,2375,950,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Pink, Silver </li><li>Measurements: One Size</li><li>Material(s): Polyester, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Pearls",10,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA013,0,Pink Floral Hand-embroidered Clutch with Sequins,pink-floral-hand-embroidered-clutch-with-sequins-ba013,"Black, Pink ",Clutch,accessories/bags,BA013,10,10 days,Bonitoange,,3125,1250,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Black, Pink </li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Tourmaline, Pearls",15,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA014,0,"Golden, Blue Hand-embroidered Clutch with Sequins","golden,-blue-hand-embroidered-clutch-with-sequins-ba014","Golden, Navy Blue",Clutch,accessories/bags,BA014,10,10 days,Bonitoange,,2125,850,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Golden, Navy Blue</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Tanzanite, Garnet, Pearls, Kundan, Topaz",20,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA015,0,Yellow Hand-embroidered Beaded Clutch with Sequins,yellow-hand-embroidered-beaded-clutch-with-sequins-ba015,Yellow,Clutch,accessories/bags,BA015,10,10 days,Bonitoange,,1750,700,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Yellow</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Tourmaline",15,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA016,0,Hand-embroidered Clutch with Beads & Sequins,hand-embroidered-clutch-with-beads-&-sequins-ba016,Silver,Clutch,accessories/bags,BA016,10,10 days,Bonitoange,,1750,700,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Silver</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Tangerine Quartz",15,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA017,0,Red Hand-embroidered Clutch with Beads & Sequins,red-hand-embroidered-clutch-with-beads-&-sequins-ba017,Red,Clutch,accessories/bags,BA017,10,10 days,Bonitoange,,1750,700,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Red</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Smoky Quartz",8,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
