store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",BA002,850,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA003,1100,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA008,850,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA009,950,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA010,950,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA013,1250,89,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA014,850,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA015,700,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA016,700,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA017,700,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA018,700,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA019,700,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA020,700,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA021,1050,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA022,1050,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA023,1100,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA025,850,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA030,1000,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA031,750,69,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA032,1250,89,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA033,1350,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA034,1100,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA035,1100,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA036,1350,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA037,1250,89,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA038,1250,89,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA039,1400,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA040,1100,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA041,1400,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA042,1000,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA043,1500,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA044,1350,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA052,1200,89,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA055,1350,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA056,1350,99,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA057,950,79,10,10 days
"store_us,global_m_sv","app_us,global_m_web",BA061,1350,99,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA002,850,2125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA003,1100,2750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA008,850,2125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA009,950,2375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA010,950,2375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA013,1250,3125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA014,850,2125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA015,700,1750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA016,700,1750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA017,700,1750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA018,700,1750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA019,700,1750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA020,700,1750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA021,1050,2625,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA022,1050,2625,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA023,1100,2750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA025,850,2125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA030,1000,2500,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA031,750,1875,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA032,1250,3125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA033,1350,3375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA034,1100,2750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA035,1100,2750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA036,1350,3375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA037,1250,3125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA038,1250,3125,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA039,1400,3500,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA040,1100,2750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA041,1400,3500,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA042,1000,2500,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA043,1500,3750,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA044,1350,3375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA052,1200,3000,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA055,1350,3375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA056,1350,3375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA057,950,2375,10,10 days
"store_in,india_m_sv","app_in,india_m_web",BA061,1350,3375,10,10 days
