store,websites,sku,cost,price,shipping_days,shipping_time_filter,cod_enabled
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG066B,1326,36,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG066P,1326,36,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG066W,1326,36,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG18BK,1923,53,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG021W,2155,59,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG021B,2155,59,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG021R,2155,59,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG021P,2155,59,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG070B,1856,51,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG070F,1856,51,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG070C,1856,51,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG070R,1856,51,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG035W,2155,59,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG31BK,2321,64,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG31BG,2321,64,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG030R,1459,40,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG025F,1525,42,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG025C,1525,42,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG025R,1525,42,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG011F,995,27,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG060C,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG33BK,1591,44,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG33RD,1591,44,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG33BL,1591,44,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG071P,1326,36,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG73OR,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG73RN,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG73BG,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG73GR,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG73FS,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG73BL,1658,45,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG75BR,1989,55,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-CP9NOV15RG75YF,1989,55,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN405G,3800,98,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN203B,2000,52,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN360B,3400,88,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN203P,2000,52,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN100R,1100,49,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN236P,2300,59,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN375G,3500,90,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN225S,2200,57,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN150B,1600,49,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN200C,2000,52,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN125F,1300,49,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN227K,2200,57,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN145C,1500,49,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN600T,1200,49,6,6 Days,0
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN225W,2200,57,6,6 Days,0
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG066B,1326,2000,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG066P,1326,2000,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG066W,1326,2000,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG18BK,1923,2900,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG021W,2155,3250,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG021B,2155,3250,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG021R,2155,3250,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG021P,2155,3250,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG070B,1856,2800,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG070F,1856,2800,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG070C,1856,2800,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG070R,1856,2800,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG035W,2155,3250,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG31BK,2321,3500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG31BG,2321,3500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG030R,1459,2200,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG025F,1525,2300,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG025C,1525,2300,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG025R,1525,2300,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG011F,995,1500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG060C,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG33BK,1591,2400,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG33RD,1591,2400,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG33BL,1591,2400,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG071P,1326,2000,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG73OR,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG73RN,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG73BG,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG73GR,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG73FS,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG73BL,1658,2500,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG75BR,1989,3000,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-CP9NOV15RG75YF,1989,3000,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN405G,3800,5396,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN203B,2000,2840,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN360B,3400,4828,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN203P,2000,2840,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN100R,1100,1562,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN236P,2300,3266,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN375G,3500,4970,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN225S,2200,3124,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN150B,1600,2272,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN200C,2000,2840,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN125F,1300,1846,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN227K,2200,3124,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN145C,1500,2130,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN600T,1200,1704,3,3 Days,1
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN225W,2200,3124,3,3 Days,1
