store,websites,attribute_set,type,category_ids,Parent,sku,itemsize,has_options,name,url_key,product_type_all,product_type_url,fashion_style,color,vendor_sku,vendor,msrp_price,price,cost,shipping_days,shipping_time_filter,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,warehouse_code,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,vendor_code,fitguide
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ101,SHUJ10136,36,0,White Leather Juttis with Pearls & Gemstones,white-leather-juttis-with-pearls-&-gemstones-shuj101,Juttis,footwear/juttis,Ethnic Wear,White,SHUJ101,Cobble,,2200,1100,20,3 to 4 Weeks,1,1,No,36,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: White</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ101,SHUJ10137,37,0,White Leather Juttis with Pearls & Gemstones,white-leather-juttis-with-pearls-&-gemstones-shuj101,Juttis,footwear/juttis,Ethnic Wear,White,SHUJ101,Cobble,,2200,1100,20,3 to 4 Weeks,1,1,No,37,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: White</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ101,SHUJ10138,38,0,White Leather Juttis with Pearls & Gemstones,white-leather-juttis-with-pearls-&-gemstones-shuj101,Juttis,footwear/juttis,Ethnic Wear,White,SHUJ101,Cobble,,2200,1100,20,3 to 4 Weeks,1,1,No,38,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: White</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ101,SHUJ10139,39,0,White Leather Juttis with Pearls & Gemstones,white-leather-juttis-with-pearls-&-gemstones-shuj101,Juttis,footwear/juttis,Ethnic Wear,White,SHUJ101,Cobble,,2200,1100,20,3 to 4 Weeks,1,1,No,39,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: White</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ101,SHUJ10140,40,0,White Leather Juttis with Pearls & Gemstones,white-leather-juttis-with-pearls-&-gemstones-shuj101,Juttis,footwear/juttis,Ethnic Wear,White,SHUJ101,Cobble,,2200,1100,20,3 to 4 Weeks,1,1,No,40,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: White</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",SHUJ101,SHUJ101,,1,White Leather Juttis with Pearls & Gemstones,white-leather-juttis-with-pearls-&-gemstones-shuj101,Juttis,footwear/juttis,Ethnic Wear,White,SHUJ101,Cobble,,2200,1100,20,3 to 4 Weeks,2,4,No,,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: White</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"36,37,38,39,40",None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,"SHUJ10136, SHUJ10137, SHUJ10138, SHUJ10139, SHUJ10140",size,"36,37,38,39,40",EX000000,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ102,SHUJ10236,36,0,Purple Brocade Leather Juttis with Ghungroos,purple-brocade-leather-juttis-with-ghungroos-shuj102,Juttis,footwear/juttis,Ethnic Wear,Purple,SHUJ102,Cobble,,1900,950,20,3 to 4 Weeks,1,1,No,36,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: Purple</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ102,SHUJ10237,37,0,Purple Brocade Leather Juttis with Ghungroos,purple-brocade-leather-juttis-with-ghungroos-shuj102,Juttis,footwear/juttis,Ethnic Wear,Purple,SHUJ102,Cobble,,1900,950,20,3 to 4 Weeks,1,1,No,37,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: Purple</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ102,SHUJ10238,38,0,Purple Brocade Leather Juttis with Ghungroos,purple-brocade-leather-juttis-with-ghungroos-shuj102,Juttis,footwear/juttis,Ethnic Wear,Purple,SHUJ102,Cobble,,1900,950,20,3 to 4 Weeks,1,1,No,38,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: Purple</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SHUJ102,SHUJ10239,39,0,Purple Brocade Leather Juttis with Ghungroos,purple-brocade-leather-juttis-with-ghungroos-shuj102,Juttis,footwear/juttis,Ethnic Wear,Purple,SHUJ102,Cobble,,1900,950,20,3 to 4 Weeks,1,1,No,39,1,1,1,Non Returnable,"Ditch your heels, juttis are women's best friend for every occasion.<ul><li>Color: Purple</li><li>Material(s): Genuine Leather</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>",,Genuine Leather,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shubhi,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,Footwear
