store,websites,sku,cost,price,category_ids
"store_us,global_m_sv","app_us,global_m_web",SHUJ10136,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10137,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10138,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10139,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10140,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ101,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10236,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10237,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10238,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10239,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10241,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ102,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10336,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10337,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10338,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10339,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10342,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ103,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10436,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10437,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10438,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10439,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10443,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ104,950,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10536,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10539,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ105,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10636,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10637,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10638,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10639,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10645,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ106,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10736,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10737,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10738,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10739,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10746,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ107,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10836,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10837,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10838,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10839,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10847,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ108,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10936,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10937,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10938,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10939,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ10948,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ109,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11036,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11037,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11038,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11039,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11049,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ110,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11136,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11137,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11138,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11139,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11150,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ111,1000,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11236,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11237,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11238,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11239,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11251,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ112,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11336,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11337,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11338,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11339,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11352,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ113,700,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11436,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11437,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11438,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11439,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11453,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ114,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11536,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11537,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11538,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11539,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11554,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ115,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11636,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11637,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11638,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11639,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11655,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ116,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11736,900,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11737,900,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11738,900,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11739,900,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11756,900,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ117,900,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11836,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11837,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11838,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11839,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11857,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ118,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11936,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11937,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11938,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11939,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ11958,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ119,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ12036,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ12037,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ12038,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ12039,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ12059,1100,69,"15,60,68,58,59"
"store_us,global_m_sv","app_us,global_m_web",SHUJ120,1100,69,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10136,1100,2200,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10137,1100,2200,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10138,1100,2200,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10139,1100,2200,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10140,1100,2200,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ101,1100,2200,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10236,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10237,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10238,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10239,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10241,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ102,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10336,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10337,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10338,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10339,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10342,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ103,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10436,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10437,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10438,950,1900,"15,60,68,58,59"
"store_in,india_m_sv","app_in,india_m_web",SHUJ10439,950,1900,"15,60,68,58,59"
