store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_in,india_m_sv","app_in,india_m_web",JAG1501,2730,4200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1502,2730,4200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1503,2730,4200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1504,2730,4200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1505,2730,4200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1506,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1507,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1508,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1509,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1510,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1511,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1512,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1513,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1514,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1515,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1516,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1517,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1518,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1519,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1520,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1521,4550,7000,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1522,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1523,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1524,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1525,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1526,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1527,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1528,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1529,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1530,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1531,6370,9800,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1532,7280,11200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1533,7280,11200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1534,7280,11200,10,10 Days
"store_in,india_m_sv","app_in,india_m_web",JAG1535,7280,11200,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1501,2730,79,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1502,2730,79,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1503,2730,79,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1504,2730,79,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1505,2730,79,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1506,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1507,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1508,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1509,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1510,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1511,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1512,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1513,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1514,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1515,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1516,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1517,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1518,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1519,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1520,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1521,4550,129,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1522,6370,179,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1523,6370,179,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1524,6370,179,10,10 Days
"store_us,global_m_sv","app_us,global_m_web",JAG1525,6370,179,10,10 Days
