store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type,vendor_code
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1501,0,Black Chanderi Silk Saree with Golden Border,black-chanderi-silk-saree-with-golden-border-jag1501,Black,Sarees,clothing/sarees,AMB9DEC1501,10,10 days,Jagjeet,,4200,2730,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Black</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1502,0,Yellow Chanderi Silk Saree,yellow-chanderi-silk-saree-jag1502,Yellow,Sarees,clothing/sarees,AMB9DEC1502,10,10 days,Jagjeet,,4200,2730,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Yellow</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1503,0,Green Chanderi Silk Saree with Golden Border,green-chanderi-silk-saree-with-golden-border-jag1503,Green,Sarees,clothing/sarees,AMB9DEC1503,10,10 days,Jagjeet,,4200,2730,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Green</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1504,0,Parrot Green Chanderi Silk Saree with Golden Border,parrot-green-chanderi-silk-saree-with-golden-border-jag1504,Green,Sarees,clothing/sarees,AMB9DEC1504,10,10 days,Jagjeet,,4200,2730,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Green</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1505,0,Dark Green Chanderi Silk Saree,dark-green-chanderi-silk-saree-jag1505,Green,Sarees,clothing/sarees,AMB9DEC1505,10,10 days,Jagjeet,,4200,2730,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Green</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1506,0,Green Chanderi Silk Saree,green-chanderi-silk-saree-jag1506,Green,Sarees,clothing/sarees,AMB9DEC1506,10,10 days,Jagjeet,,7000,4550,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Green</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1507,0,Pink Chanderi Silk Saree with Golden Border,pink-chanderi-silk-saree-with-golden-border-jag1507,Pink,Sarees,clothing/sarees,AMB9DEC1507,10,10 days,Jagjeet,,7000,4550,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Pink</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1508,0,Black Chanderi Silk Saree with Red & Golden Border,black-chanderi-silk-saree-with-red-&-golden-border-jag1508,"Black, Red",Sarees,clothing/sarees,AMB9DEC1508,10,10 days,Jagjeet,,7000,4550,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,"A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Black, Red</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>",Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1509,0,Cream Chanderi Silk Saree with Floral Motifs,cream-chanderi-silk-saree-with-floral-motifs-jag1509,Cream,Sarees,clothing/sarees,AMB9DEC1509,10,10 days,Jagjeet,,7000,4550,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Cream</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Women,simple,"15,17,44,19,14",JAG1510,0,Orange Chanderi Silk Saree with Red Border,orange-chanderi-silk-saree-with-red-border-jag1510,Orange,Sarees,clothing/sarees,AMB9DEC1510,10,10 days,Jagjeet,,7000,4550,2,4,0,Saree Length: 5.5 metres,0,0,1,Non Returnable,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Orange</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>,Saree Length: 5.5 metres,Pure Chanderi Silk,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Jagjeet,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
