store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",NIT8422,1100,59,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8437,3000,90,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8436,1600,65,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8627,350,49,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8681,750,49,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8687,550,49,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8468,750,49,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8523,450,35,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8528,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8532,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8535,350,29,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8538,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8543,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8545,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8546,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8572,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8577,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8579,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8584,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8587,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8634,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8735,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8564,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8566,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8592,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8594,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8598,250,25,25,25 days
"store_us,global_m_sv","app_us,global_m_web",NIT8590,250,25,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8422,1100,3000,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8437,3000,5000,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8436,1600,3500,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8627,350,1500,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8681,750,2000,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8687,550,2000,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8468,750,2000,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8523,450,1125,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8528,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8532,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8535,350,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8538,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8543,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8545,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8546,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8572,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8577,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8579,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8584,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8587,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8634,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8735,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8564,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8566,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8592,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8594,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8598,250,899,25,25 days
"store_in,india_m_sv","app_in,india_m_web",NIT8590,250,899,25,25 days
