store,websites,sku,cost,price
"store_us,global_m_sv","app_us,global_m_web",RSRW035XS,7930,259
"store_us,global_m_sv","app_us,global_m_web",RSRW035S,7930,259
"store_us,global_m_sv","app_us,global_m_web",RSRW035M,7930,259
"store_us,global_m_sv","app_us,global_m_web",RSRW035L,7930,259
"store_us,global_m_sv","app_us,global_m_web",RSRW035XL,7930,259
"store_us,global_m_sv","app_us,global_m_web",RSRW035,7930,259
"store_us,global_m_sv","app_us,global_m_web",RSRW016XS,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW016S,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW016M,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW016L,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW016XL,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW016,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRRW015XS,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRRW015S,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRRW015M,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRRW015L,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRRW015XL,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRRW015,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW015XS,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW015S,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW015M,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW015L,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW015XL,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW015,12155,399
"store_us,global_m_sv","app_us,global_m_web",RSRW045XS,12350,405
"store_us,global_m_sv","app_us,global_m_web",RSRW045S,12350,405
"store_us,global_m_sv","app_us,global_m_web",RSRW045M,12350,405
"store_us,global_m_sv","app_us,global_m_web",RSRW045L,12350,405
"store_us,global_m_sv","app_us,global_m_web",RSRW045XL,12350,405
"store_us,global_m_sv","app_us,global_m_web",RSRW045,12350,405
"store_us,global_m_sv","app_us,global_m_web",RSRW042XS,11123,359
"store_us,global_m_sv","app_us,global_m_web",RSRW042S,11123,359
"store_us,global_m_sv","app_us,global_m_web",RSRW042M,11123,359
"store_us,global_m_sv","app_us,global_m_web",RSRW042L,11123,359
"store_us,global_m_sv","app_us,global_m_web",RSRW042XL,11123,359
"store_us,global_m_sv","app_us,global_m_web",RSRW042,11123,359
"store_us,global_m_sv","app_us,global_m_web",RSRW033XS,10183,329
"store_us,global_m_sv","app_us,global_m_web",RSRW033S,10183,329
"store_us,global_m_sv","app_us,global_m_web",RSRW033M,10183,329
"store_us,global_m_sv","app_us,global_m_web",RSRW033L,10183,329
"store_us,global_m_sv","app_us,global_m_web",RSRW033XL,10183,329
"store_us,global_m_sv","app_us,global_m_web",RSRW033,10183,329
"store_us,global_m_sv","app_us,global_m_web",RSRW032XS,19110,629
