store,websites,sku,fitguide,description
"store_us,global_m_sv","app_us,global_m_web",RSRW035XS,size chart 1,"The georgette saree gown showcases crystals at the waist with chains. It comes with a blue georgette blouse adorned with sequins at the straps & dori at the back. Closure: Hook & eye.<ul><li>Color: Blue</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW035S,size chart 1,"The georgette saree gown showcases crystals at the waist with chains. It comes with a blue georgette blouse adorned with sequins at the straps & dori at the back. Closure: Hook & eye.<ul><li>Color: Blue</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW035M,size chart 1,"The georgette saree gown showcases crystals at the waist with chains. It comes with a blue georgette blouse adorned with sequins at the straps & dori at the back. Closure: Hook & eye.<ul><li>Color: Blue</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW035L,size chart 1,"The georgette saree gown showcases crystals at the waist with chains. It comes with a blue georgette blouse adorned with sequins at the straps & dori at the back. Closure: Hook & eye.<ul><li>Color: Blue</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW035XL,size chart 1,"The georgette saree gown showcases crystals at the waist with chains. It comes with a blue georgette blouse adorned with sequins at the straps & dori at the back. Closure: Hook & eye.<ul><li>Color: Blue</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW035,size chart 1,"The georgette saree gown showcases crystals at the waist with chains. It comes with a blue georgette blouse adorned with sequins at the straps & dori at the back. Closure: Hook & eye.<ul><li>Color: Blue</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW016XS,size chart 1,"This georgette saree gown showcases crystals at the lower half and floral crystal motif at the waist. It comes with a green georgette sleeveless blouse with a studded strap, crystals, bugle beads & metallic threadwork all over. Hidden zip at the side.<ul><li>Color: Green</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW016S,size chart 1,"This georgette saree gown showcases crystals at the lower half and floral crystal motif at the waist. It comes with a green georgette sleeveless blouse with a studded strap, crystals, bugle beads & metallic threadwork all over. Hidden zip at the side.<ul><li>Color: Green</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW016M,size chart 1,"This georgette saree gown showcases crystals at the lower half and floral crystal motif at the waist. It comes with a green georgette sleeveless blouse with a studded strap, crystals, bugle beads & metallic threadwork all over. Hidden zip at the side.<ul><li>Color: Green</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW016L,size chart 1,"This georgette saree gown showcases crystals at the lower half and floral crystal motif at the waist. It comes with a green georgette sleeveless blouse with a studded strap, crystals, bugle beads & metallic threadwork all over. Hidden zip at the side.<ul><li>Color: Green</li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
