store,websites,sku,category_ids,status
"store_us,global_m_sv","app_us,global_m_web",RSRW035XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW035S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW035M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW035L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW035XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW035,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW016XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW016S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW016M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW016L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW016XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW016,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRRW015XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRRW015S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRRW015M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRRW015L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRRW015XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRRW015,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW015XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW015S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW015M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW015L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW015XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW015,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW045XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW045S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW045M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW045L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW045XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW045,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW042XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW042S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW042M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW042L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW042XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW042,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW033XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW033S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW033M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW033L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW033XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW033,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW032XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW032S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW032M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW032L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW032XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW032,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW030XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW030S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW030M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW030L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW030XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW030,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW027XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW027S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW027M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW027L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW027XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW027,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW024XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW024S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW024M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW024L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW024XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW024,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW026XS,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW026S,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW026M,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW026L,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW026XL,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RSRW026,"15,17,65,19,14",1
"store_us,global_m_sv","app_us,global_m_web",RLW024XS,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW024S,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW024M,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW024L,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW024XL,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW024,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW009XS,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW009S,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW009M,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW009L,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW009XL,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW009,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW021XS,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW021S,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW021M,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW021L,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW021XL,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW021,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW031XS,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW031S,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW031M,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW031L,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW031XL,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW031,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW023XS,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW023S,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW023M,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW023L,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW023XL,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW023,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW032XS,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW032S,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW032M,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW032L,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW032XL,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW032,"15,17,64,19,50",1
"store_us,global_m_sv","app_us,global_m_web",RLW034XS,"15,17,64,19,50",1
