store,websites,sku,name,url_key,description
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015CSY,Yellow Manipuri Cotton Saree with Blouse Fabric (Set of 2),yellow-manipuri-cotton-saree-with-blouse-fabric-(setof2)-inctr2015csy,Yellow manipuri cotton unstitched saree with gold tone paisley motifs and blouse fabric<ul><li>Color: Yellow</li><li>Measurements: Free Size</li><li>Material(s): Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015CSG,Green Manipuri Cotton Saree with Blouse Fabric (Set of 2),green-manipuri-cotton-saree-with-blouse-fabric-(setof2)-inctr2015csg,Green manipuri cotton unstitched saree with gold tone paisley motifs and blouse fabric<ul><li>Color: Green</li><li>Measurements: Free Size</li><li>Material(s): Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015MHP,"Pink, Navy Blue Embroidered Silk Cotton Saree with Blouse Fabric (Set of 2)","pink,-navy-blue-embroidered-silk-cotton-saree-with-blouse-fabric-(setof2)-inctr2015mhp","Pink, navy blue embroidered silk and manipuri cotton unstitched saree with blouse fabric<ul><li>Color: Pink, Navy Blue</li><li>Measurements: Free Size</li><li>Material(s): Silk, Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015MHR,"Red, Green Embroidered Silk Cotton Saree with Blouse Fabric (Set of 2)","red,-green-embroidered-silk-cotton-saree-with-blouse-fabric-(setof2)-inctr2015mhr","Red,Green embroidered silk and manipuri cotton unstitched saree with blouse fabric<ul><li>Color: Red, Green</li><li>Measurements: Free Size</li><li>Material(s): Silk, Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015SPP,Dark Pink Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2),dark-pink-embroidered-gajji-silk-saree-with-blouse-fabric-(setof2)-inctr2015spp,"Dark pink embroidered gajji silk unstitched saree with purple boder and blouse fabric <ul><li>Color: Dark Pink, Purple</li><li>Measurements: Free Size</li><li>Material(s): Gajji Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015SPG,Olive Green Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2),olive-green-embroidered-gajji-silk-saree-with-blouse-fabric-(setof2)-inctr2015spg,"Olive green embroidered gajji silk unstitched saree with maroon boder and blouse fabric <ul><li>Color: Olive Green, Maroon</li><li>Measurements: Free Size</li><li>Material(s): Gajji Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015SPO,Orange Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2),orange-embroidered-gajji-silk-saree-with-blouse-fabric-(setof2)-inctr2015spo,Orange embroidered gajji silk unstitched saree with green boder and blouse fabric <ul><li>Color: Orange</li><li>Measurements: Free Size</li><li>Material(s): Gajji Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015ZSB,Teal Blue Embroidered Zoya Silk Saree with Blouse Fabric (Set of 2),teal-blue-embroidered-zoya-silk-saree-with-blouse-fabric-(setof2)-inctr2015zsb,Teal Blue embroidered zoya silk unstitched saree with blouse fabric <ul><li>Color: Teal Blue</li><li>Measurements: Free Size</li><li>Material(s): Zoya Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015ZSPK,Pink Embroidered Zoya Silk Saree with Blouse Fabric (Set of 2),pink-embroidered-zoya-silk-saree-with-blouse-fabric-(setof2)-inctr2015zspk,Pink embroidered zoya silk unstitched saree with blouse fabric <ul><li>Color: Pink</li><li>Measurements: Free Size</li><li>Material(s): Zoya Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",INCTR2015VPB,"Black, Beige Embroidered Pure Velvet Saree with Blouse Fabric (Set of 2)","black,-beige-embroidered-pure-velvet-saree-with-blouse-fabric-(setof2)-inctr2015vpb","Black, beige embroidered pure velvet unstitched saree with blouse fabric <ul><li>Color: Black, Beige</li><li>Measurements: Free Size</li><li>Material(s): Pure Velvet</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
