store,websites,attribute_set,type,category_ids,Parent,sku,has_options,name,url_key,product_type_all,product_type_url,fashion_style,color,vendor_sku,vendor,msrp_price,price,cost,shipping_days,shipping_time_filter,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,warehouse_code,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,vendor_code,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH1595GRE,SH1595GRES,0,"Green, Black Hand-embroidered Net Shirt with Dupatta & Churidar (Set of 3)",green-black-hand-embroidered-net-shirt-with-dupatta-&-churidar-(setof3)-SH1595GRE,Suit Set,clothing/suit sets,Ethnic Wear,"Green, Black",1595,Shivam,,17000,8500,30,4 to 5 Weeks,1,1,No,S,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42","Shirt & Dupatta: Net, Churidar: Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH1595GRE,SH1595GREM,0,"Green, Black Hand-embroidered Net Shirt with Dupatta & Churidar (Set of 3)",green-black-hand-embroidered-net-shirt-with-dupatta-&-churidar-(setof3)-SH1595GRE,Suit Set,clothing/suit sets,Ethnic Wear,"Green, Black",1595,Shivam,,17000,8500,30,4 to 5 Weeks,1,1,No,M,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42","Shirt & Dupatta: Net, Churidar: Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH1595GRE,SH1595GREL,0,"Green, Black Hand-embroidered Net Shirt with Dupatta & Churidar (Set of 3)",green-black-hand-embroidered-net-shirt-with-dupatta-&-churidar-(setof3)-SH1595GRE,Suit Set,clothing/suit sets,Ethnic Wear,"Green, Black",1595,Shivam,,17000,8500,30,4 to 5 Weeks,1,1,No,L,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42","Shirt & Dupatta: Net, Churidar: Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH1595GRE,SH1595GREXL,0,"Green, Black Hand-embroidered Net Shirt with Dupatta & Churidar (Set of 3)",green-black-hand-embroidered-net-shirt-with-dupatta-&-churidar-(setof3)-SH1595GRE,Suit Set,clothing/suit sets,Ethnic Wear,"Green, Black",1595,Shivam,,17000,8500,30,4 to 5 Weeks,1,1,No,XL,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42","Shirt & Dupatta: Net, Churidar: Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,","
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",SH1595GRE,SH1595GRE,1,"Green, Black Hand-embroidered Net Shirt with Dupatta & Churidar (Set of 3)",green-black-hand-embroidered-net-shirt-with-dupatta-&-churidar-(setof3)-SH1595GRE,Suit Set,clothing/suit sets,Ethnic Wear,"Green, Black",1595,Shivam,,17000,8500,30,4 to 5 Weeks,2,4,No,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42","Shirt & Dupatta: Net, Churidar: Lycra, Net",0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"SH1595GRES, SH1595GREM, SH1595GREL, SH1595GREXL",None,Shivam,,EX_FC_VL_DEL_KAP,,field,"Bust/Chest,Hip,Waist,Sleeve Length,Shoulders,Armhole,Neck,Length (Shoulder to Knee),Length (Waist to Ankle)",0,0,,0,"1,2,3,4,5,6,7,8,9",,,,,"SH1595GRES, SH1595GREM, SH1595GREL, SH1595GREXL",item size,"S,M,L,XL",EX000000,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2172CRE,SH2172CRES,0,"Cream, Yellow Dori-embroidered Net Anarkali with Dupatta & Churidar (Set of 3)",cream-yellow-dori-embroidered-net-anarkali-with-dupatta-&-churidar-(setof3)-SH2172CRE,Suit Set,clothing/suit sets,Ethnic Wear,"Cream, Yellow, Pink",2172,Shivam,,19998,9999,30,4 to 5 Weeks,1,1,No,S,1,1,1,Non Returnable,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42","Anarkali & Dupatta: Net, Churidar: Lycra Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2172CRE,SH2172CREM,0,"Cream, Yellow Dori-embroidered Net Anarkali with Dupatta & Churidar (Set of 3)",cream-yellow-dori-embroidered-net-anarkali-with-dupatta-&-churidar-(setof3)-SH2172CRE,Suit Set,clothing/suit sets,Ethnic Wear,"Cream, Yellow, Pink",2172,Shivam,,19998,9999,30,4 to 5 Weeks,1,1,No,M,1,1,1,Non Returnable,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42","Anarkali & Dupatta: Net, Churidar: Lycra Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2172CRE,SH2172CREL,0,"Cream, Yellow Dori-embroidered Net Anarkali with Dupatta & Churidar (Set of 3)",cream-yellow-dori-embroidered-net-anarkali-with-dupatta-&-churidar-(setof3)-SH2172CRE,Suit Set,clothing/suit sets,Ethnic Wear,"Cream, Yellow, Pink",2172,Shivam,,19998,9999,30,4 to 5 Weeks,1,1,No,L,1,1,1,Non Returnable,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42","Anarkali & Dupatta: Net, Churidar: Lycra Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2172CRE,SH2172CREXL,0,"Cream, Yellow Dori-embroidered Net Anarkali with Dupatta & Churidar (Set of 3)",cream-yellow-dori-embroidered-net-anarkali-with-dupatta-&-churidar-(setof3)-SH2172CRE,Suit Set,clothing/suit sets,Ethnic Wear,"Cream, Yellow, Pink",2172,Shivam,,19998,9999,30,4 to 5 Weeks,1,1,No,XL,1,1,1,Non Returnable,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42","Anarkali & Dupatta: Net, Churidar: Lycra Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",SH2172CRE,SH2172CRE,1,"Cream, Yellow Dori-embroidered Net Anarkali with Dupatta & Churidar (Set of 3)",cream-yellow-dori-embroidered-net-anarkali-with-dupatta-&-churidar-(setof3)-SH2172CRE,Suit Set,clothing/suit sets,Ethnic Wear,"Cream, Yellow, Pink",2172,Shivam,,19998,9999,30,4 to 5 Weeks,2,4,No,,1,1,1,Non Returnable,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42","Anarkali & Dupatta: Net, Churidar: Lycra Net",0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"SH2172CRES, SH2172CREM, SH2172CREL, SH2172CREXL",None,Shivam,,EX_FC_VL_DEL_KAP,,field,"Bust/Chest,Hip,Waist,Sleeve Length,Shoulders,Armhole,Neck,Length (Shoulder to Knee),Length (Waist to Ankle)",0,0,,0,"1,2,3,4,5,6,7,8,9",,,,,"SH2172CRES, SH2172CREM, SH2172CREL, SH2172CREXL",item size,"S,M,L,XL",EX000000,,,
