store,websites,Parent,sku,attribute_set,type,description,tab_sizing,qty
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH1595GRE,SH1595GRES,Default,simple,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH1595GRE,SH1595GREM,Default,simple,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH1595GRE,SH1595GREL,Default,simple,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH1595GRE,SH1595GREXL,Default,simple,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH1595GRE,SH1595GRE,Default,configurable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","B-38, W-32, H-40-42",0
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2172CRE,SH2172CRES,Default,simple,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2172CRE,SH2172CREM,Default,simple,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2172CRE,SH2172CREL,Default,simple,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2172CRE,SH2172CREXL,Default,simple,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42",5
"store_us,store_in,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",SH2172CRE,SH2172CRE,Default,configurable,"Cream and yellow net anarkali with dori work all over. It includes a lycra net churidar and net dupatta.<ul><li>Color: Cream, Yellow, Pink</li><li>Made to Color Option: Cream, Yellow, Black</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA","B-38, W-32, H-40-42",0
