store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",INS74480,4480,297,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS23780,3780,251,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS142450,2450,229,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS92940,2940,262,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS165010,5010,400,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS12520,2520,168,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS54830,4830,320,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS33080,3080,205,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS102940,2940,262,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS42730,2730,181,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS112940,2940,262,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS152058,2058,203,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS83318,3318,287,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS132240,2240,215,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS121890,1890,192,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS64760,4760,317,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS171300,1300,68,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS261764,1764,118,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS271944,1944,130,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS224723,4723,314,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS282052,2052,136,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS292736,2736,182,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS232268,2268,151,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS212232,2232,150,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS203276,3276,218,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS242160,2160,143,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS181692,1692,113,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS302400,2400,156,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS312450,2450,163,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS191857,1857,123,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS322225,2225,148,30,30 days
"store_us,global_m_sv","app_us,global_m_web",INS251296,1296,90,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS74480,4480,14850,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS23780,3780,12550,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS142450,2450,11450,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS92940,2940,13100,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS165010,5010,20000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS12520,2520,8400,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS54830,4830,16000,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS33080,3080,10250,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS102940,2940,13100,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS42730,2730,9050,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS112940,2940,13100,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS152058,2058,10150,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS83318,3318,14350,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS132240,2240,10750,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS121890,1890,9600,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS64760,4760,15850,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS171300,1300,3400,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS261764,1764,5900,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS271944,1944,6500,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS224723,4723,15690,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS282052,2052,6815,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS292736,2736,9100,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS232268,2268,7550,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS212232,2232,7500,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS203276,3276,10900,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS242160,2160,7150,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS181692,1692,5650,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS302400,2400,7800,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS312450,2450,8150,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS191857,1857,6150,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS322225,2225,7400,30,30 days
"store_in,india_m_sv","app_in,india_m_web",INS251296,1296,4500,30,30 days
