store,websites,sku,status,visibility
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N355G,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N800R,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15250P,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15250W,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15113G,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15800G,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15500W,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15100G,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN405G,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN203B,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN236P,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN150B,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN227K,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN145C,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN225W,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N600T,2,4
"store_us,global_m_sv","app_us,global_m_web",C-ICL17DEC15N500R,2,4
"store_us,global_m_sv","app_us,global_m_web",C-IC4NOV15IN600T,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N355G,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N800R,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15250P,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15250W,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15113G,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15800G,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15500W,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15100G,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN405G,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN203B,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN236P,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN150B,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN227K,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN145C,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN225W,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N600T,2,4
"store_in,india_m_sv","app_in,india_m_web",C-ICL17DEC15N500R,2,4
"store_in,india_m_sv","app_in,india_m_web",C-IC4NOV15IN600T,2,4
