store,websites,sku,name
"store_us,store_in,admin","app_us,app_in",INCTR2015CSY,Yellow Manipuri Cotton Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015CSG,Green Manipuri Cotton Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015MHP,"Pink, Navy Blue Embroidered Silk Cotton Saree with Blouse Fabric (Set of 2)"
"store_us,store_in,admin","app_us,app_in",INCTR2015MHR,"Red, Green Embroidered Silk Cotton Saree with Blouse Fabric (Set of 2)"
"store_us,store_in,admin","app_us,app_in",INCTR2015SPP,Dark Pink Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015SPG,Olive Green Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015SPO,Orange Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015ZSB,Teal Blue Embroidered Zoya Silk Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015ZSPK,Pink Embroidered Zoya Silk Saree with Blouse Fabric (Set of 2)
"store_us,store_in,admin","app_us,app_in",INCTR2015VPB,"Black, Beige Embroidered Pure Velvet Saree with Blouse Fabric (Set of 2)"
"store_us,store_in,admin","app_us,app_in",IN14M350,"Tanzanite, Rose Quartz Brass Necklace with Filigree Work"
"store_us,store_in,admin","app_us,app_in",IN14M440,Floral Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",IN14M800,Engraved Gold Tone Brass Earrings with Pearl Drop Chains
"store_us,store_in,admin","app_us,app_in",IN14M203,Crescent Tourmaline Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",IN14M418,Oval Tanzanite Brass Kundan Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",IN14M300,Peacock Gold Tone Brass Kundan Earcuffs
"store_us,store_in,admin","app_us,app_in",IN14M185,Turquoise Gold Tone Engraved Brass Earrings
"store_us,store_in,admin","app_us,app_in",IN14M125_1,Crescent Brass Kundan Maang Tikka
