store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",INC4OCT370,1000,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT372,625,39,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT374,1750,80,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT375,500,39,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT376,250,29,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT379,625,39,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT384,2075,99,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT385,500,39,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT387,1125,59,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT390,400,35,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT391,400,35,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT392,400,35,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT395,400,35,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT397,400,35,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT405,900,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT409,800,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT411,750,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT412,1125,59,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT413,1000,59,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT415,2500,119,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT418,2200,109,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT419,2700,129,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT417,900,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT416,1800,89,7,7 days
"store_us,global_m_sv","app_us,global_m_web",INC4OCT420,2200,109,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT370,1000,2500,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT372,625,1800,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT374,1750,4400,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT375,500,1999,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT376,250,1499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT379,625,1800,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT384,2075,5200,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT385,500,1999,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT387,1125,2999,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT390,400,1299,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT391,400,1299,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT392,400,1299,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT395,400,1299,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT397,400,1299,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT405,900,2499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT409,800,2499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT411,750,2199,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT412,1125,2999,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT413,1000,2999,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT415,2500,6499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT418,2200,5900,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT419,2700,6900,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT417,900,2499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT416,1800,4900,7,7 days
"store_in,india_m_sv","app_in,india_m_web",INC4OCT420,2200,5900,7,7 days
