store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN237B,0,Blue Topaz Handcrafted Kundan Earrings ,blue-topaz-handcrafted-kundan-earrings-in237b,Blue,Earring,jewelry/fashion/earrings,IN237B,7,7 days,Regalia,,2799,1185,2,4,0,ONESIZE,0,0,1,Non Returnable,Handcrafted traditional Kundan earrings with blue topaz gemstones and blue bead drop from Gujarat<ul><li>Color: Blue</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN150C,0,Citrine and Smoky Quartz Handcrafted Gold Tone Textured Drop Earrings,citrine-and-smoky-quartz-handcrafted-gold-tone-textured-drop-earringsblue-topaz-handcrafted-kundan-earringsin150c,Golden,Earring,jewelry/fashion/earrings,IN150C,7,7 days,Regalia,,1749,750,2,4,0,ONESIZE,0,0,1,Non Returnable,Handcrafted golden floral textured earrings with citrine gemstone and smoky quartz stone drop<ul><li>Color: Golden</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN175J,0,Turquoise Gold Tone Textured Jhumkis with Pearls,turquoise-gold-tone-textured-jhumkis-with-pearlscitrine-and-smoky-quartz-handcrafted-gold-tone-textured-drop-earringsin175j,Golden,Earring,jewelry/fashion/earrings,IN175J,7,7 days,Regalia,,2035,875,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, textured golden jhumkis featuring turquoise stones and pearls<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN240L,0,Leaf Blue Quartz Textured Baalis with Pearls,leaf-blue-quartz-textured-baalis-with-pearlsturquoise-gold-tone-textured-jhumkis-with-pearlsin240l,Blue,Earring,jewelry/fashion/earrings,IN240L,7,7 days,Regalia,,2789,1200,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, contemporary leaf shaped textured baalis encrusted with blue quartz stones and pearl jhumki drop.<ul><li>Color: Blue</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN750T,0,Leaf Gold Tone Textured Danglers,leaf-gold-tone-textured-danglersleaf-blue-quartz-textured-baalis-with-pearlsin750t,Golden,Earring,jewelry/fashion/earrings,IN750T,7,7 days,Regalia,,1200,375,2,4,0,ONESIZE,0,0,1,Non Returnable,Golden and silver modern textured danglers inspired by leaf designs<ul><li>Color: Golden</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN100P,0,Crescent Tanzanite Gold Tone Earrings with Pearls,crescent-tanzanite-gold-tone-earrings-with-pearlsleaf-gold-tone-textured-danglersin100p,Golden,Earring,jewelry/fashion/earrings,IN100P,7,7 days,Regalia,,1200,500,2,4,0,ONESIZE,0,0,1,Non Returnable,Handcrafted golden crescent shaped earrings showcasing pearls and tanzanite stones from Gujarat<ul><li>Color: Golden</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN563B,0,Bird Handcrafted Kundan Earrings with Pearls and Chains,bird-handcrafted-kundan-earrings-with-pearls-and-chainscrescent-tanzanite-gold-tone-earrings-with-pearlsin563b,Golden,Earring,jewelry/fashion/earrings,IN563B,7,7 days,Regalia,,6599,2815,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted kundan earrings inspired by birds. Adorned with engraved jhumki, pearls and golden chains<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN130P,0,Peacock Gold Tone Embossed Jhumkis with Pearls and Zircons,peacock-gold-tone-embossed-jhumkis-with-pearls-and-zirconsbird-handcrafted-kundan-earrings-with-pearls-and-chainsin130p,Golden,Earring,jewelry/fashion/earrings,IN130P,7,7 days,Regalia,,1500,650,2,4,0,ONESIZE,0,0,1,Non Returnable,Handcrafted embossed golden peacock jhumkis featuring pearls and colored zircons<ul><li>Color: Golden</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN225W,0,Crescent Tourmaline Handcrafted Kundan Earrings with Pearls,crescent-tourmaline-handcrafted-kundan-earrings-with-pearlspeacock-gold-tone-embossed-jhumkis-with-pearls-and-zirconsin225w,Pink,Earring,jewelry/fashion/earrings,IN225W,7,7 days,Regalia,,2499,1065,2,4,0,ONESIZE,0,0,1,Non Returnable,Handcrafted layered crescent shaped Kundan earrings with pearls and tourmaline stones<ul><li>Color: Pink</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN240P,0,Paisley Blue Quartz and Black Onyx Textured Baalis ,paisley-blue-quartz-and-black-onyx-textured-baaliscrescent-tourmaline-handcrafted-kundan-earrings-with-pearlsin240p,Blue,Earring,jewelry/fashion/earrings,IN240P,7,7 days,Regalia,,2799,1200,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, paisley shaped textured baalis embellished with floral motifs, blue quartz, black onyx stones and pearl jhumki drop.<ul><li>Color: Blue</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
