store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",IN237B,1185,50,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN150C,750,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN175J,875,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN240L,1200,55,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN750T,375,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN100P,500,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN563B,2815,119,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN130P,650,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN225W,1065,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN240P,1200,55,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN200F,1000,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN125D,625,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN281G,1405,59,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN440M,2200,99,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN118M,590,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M400,2100,89,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M125,656,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M320,1680,79,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M291,1528,69,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M100,525,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M250,1313,55,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M150,788,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M125_1,656,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M185,971,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M300,1575,67,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M418,2195,99,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M203,1066,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M800,420,49,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M440,2310,98,7,7 days
"store_us,global_m_sv","app_us,global_m_web",IN14M350,1838,78,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN237B,1185,2799,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN150C,750,1749,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN175J,875,2035,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN240L,1200,2789,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN750T,375,1200,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN100P,500,1200,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN563B,2815,6599,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN130P,650,1500,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN225W,1065,2499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN240P,1200,2799,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN200F,1000,2400,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN125D,625,1459,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN281G,1405,3300,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN440M,2200,5100,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN118M,590,1500,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M400,2100,4899,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M125,656,1600,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M320,1680,4000,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M291,1528,3599,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M100,525,1499,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M250,1313,3000,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M150,788,1999,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M125_1,656,1699,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M185,971,2300,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M300,1575,3700,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M418,2195,5100,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M203,1066,2500,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M800,420,1200,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M440,2310,5400,7,7 days
"store_in,india_m_sv","app_in,india_m_web",IN14M350,1838,4300,7,7 days
