store,websites,sku,cost,price,product_type_url
"store_in,india_m_sv","app_in,india_m_web",EC2930,399,599,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2931,399,599,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2932,559,839,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2933,559,839,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2934,319,479,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2935,638,957,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3093,399,599,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3001,638,957,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3095,638,957,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2986,478,719,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3066,318,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3067,318,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3088,318,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3089,478,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3090,318,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC4005,318,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3091,318,499,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3063,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC4007,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC4008,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2936,520,780,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC2937,520,780,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3084,520,780,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3092,520,780,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC4006,600,900,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3048,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3049,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3050,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3051,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3055,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3060,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3061,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3062,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3059,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3064,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3086,480,720,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3098,480,720,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3071,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3072,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3074,400,600,home/gifts
"store_in,india_m_sv","app_in,india_m_web",EC3073,400,600,home/gifts
"store_us,global_m_sv","app_us,global_m_web",EC2930,399,25,
"store_us,global_m_sv","app_us,global_m_web",EC2931,399,25,
"store_us,global_m_sv","app_us,global_m_web",EC2932,559,25,
