sku,category_ids
C-ICL17DEC15N227R,5
C-ICL17DEC15N360M,5
C-ICL17DEC15N223M,8
C-ICL17DEC15N315M,8
C-ICL17DEC15N360S,5
C-ICL17DEC15N350S,5
C-ICL17DEC15N350G,5
C-ICL17DEC15N355G,5
C-ICL17DEC15N400M,5
C-ICL17DEC15N800R,5
C-ICL17DEC15N600T,8
C-ICL17DEC15N500R,8
C-ICL17DEC15N500M,8
C-ICL17DEC15N500S,8
C-ICL17DEC15500SM,8
C-ICL17DEC15N113W,8
C-ICL17DEC15N113W,8
C-ICL24SEP15211G,5
C-ICL24SEP15250P,5
C-ICL24SEP15250W,5
C-ICL24SEP15338W,5
C-ICL24SEP15250B,5
C-ICL24SEP15113G,5
C-ICL24SEP15200W,5
C-ICL24SEP15125B,5
C-ICL24SEP15200G,5
C-ICL24SEP15213G,5
C-ICL24SEP15800G,5
C-ICL24SEP15500W,5
C-ICL24SEP15100G,5
C-ICL24SEP15500B,7
C-ICL24SEP15500G,7
C-IC4NOV15IN405G,5
C-IC4NOV15IN203B,5
C-IC4NOV15IN360B,5
C-IC4NOV15IN203P,5
C-IC4NOV15IN100R,5
C-IC4NOV15IN236P,5
C-IC4NOV15IN225S,5
C-IC4NOV15IN150B,5
C-IC4NOV15IN200C,5
C-IC4NOV15IN125F,5
C-IC4NOV15IN227K,5
C-IC4NOV15IN145C,5
C-IC4NOV15IN600T,8
C-IC4NOV15IN225W,5
M-IC5FEB16NJW325,13
M-IC5FEB16NJT325,13
M-IC5FEB16NJS200,13
M-IC5FEB16NJH300,13
M-IC5FEB16NJR400,13
M-IC5FEB16NJM600,13
M-IC5FEB16NJA300,13
M-IC5FEB16NJW300,13
M-IC5FEB16NJM300,13
M-IC5FEB16NJU300,13
M-IC5FEB16NJE300,13
M-IC5FEB16NJL300,13
M-IC5FEB16NJP300,13
M-IC5FEB16NJS300,13
M-IC5FEB16NJF300,13
M-IC5FEB16NJS325,13
M-IC5FEB16NJC300,13
M-IC5FEB16NJB375,13
M-IC5FEB16NJB450,13
M-IC5FEB16NJD450,13
M-IC5FEB16NJJ450,13
M-IC5FEB16NJS375,13
M-IC5FEB16NJV375,13
M-IC5FEB16NJB325,13
