store,websites,sku,cost,price
"store_in,india_m_sv","app_in,india_m_web",NASHDP01,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP02,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP03,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP04,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP05,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP06,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP07,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP08,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP09,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP10,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP11,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP12,3182,4895
"store_in,india_m_sv","app_in,india_m_web",NASHDP13,2824,4345
"store_in,india_m_sv","app_in,india_m_web",NASHDP14,2824,4345
"store_in,india_m_sv","app_in,india_m_web",NASHDP15,2824,4345
"store_in,india_m_sv","app_in,india_m_web",NASHDP16,2824,4345
"store_in,india_m_sv","app_in,india_m_web",NASHDP17,2824,4345
"store_in,india_m_sv","app_in,india_m_web",NASHDP18,2824,4345
"store_in,india_m_sv","app_in,india_m_web",NASHDP19,2824,4345
"store_us,global_m_sv","app_us,global_m_web",NASHDP01,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP02,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP03,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP04,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP05,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP06,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP07,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP08,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP09,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP10,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP11,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP12,3182,99
"store_us,global_m_sv","app_us,global_m_web",NASHDP13,2824,89
"store_us,global_m_sv","app_us,global_m_web",NASHDP14,2824,89
"store_us,global_m_sv","app_us,global_m_web",NASHDP15,2824,89
"store_us,global_m_sv","app_us,global_m_web",NASHDP16,2824,89
"store_us,global_m_sv","app_us,global_m_web",NASHDP17,2824,89
"store_us,global_m_sv","app_us,global_m_web",NASHDP18,2824,89
"store_us,global_m_sv","app_us,global_m_web",NASHDP19,2824,89
