sku,images,"m.value) SEPARATOR '|')"""
mb-cs-001,mb-cs-001.jpg|mb-cs-001-1.jpg,
mb-cs-002,mb-cs-002.jpg|mb-cs-002-1.jpg|mb-cs-002-2.jpg,
mb-cs-004,mb-cs-004.jpg|mb-cs-004-1.jpg,
mb-cs-005,mb-cs-005.jpg|mb-cs-005-1.jpg,
mb-cs-009,mb-cs-009.jpg|mb-cs-009-1.jpg,
mb-cs-010,mb-cs-010.jpg|mb-cs-010-1.jpg,
mb-cs-012,mb-cs-012.jpg|mb-cs-012-1.jpg|mb-cs-012-2.jpg,
mb-cs-013,mb-cs-013.jpg|mb-cs-013-1.jpg,
mb-cs-015,mb-cs-015.jpg|mb-cs-015-1.jpg,
mb-cs-019,mb-cs-019.jpg|mb-cs-019-1.jpg|mb-cs-019-2.jpg,
mb-cs-023,mb-cs-023.jpg|mb-cs-023-1.jpg|mb-cs-023-3.jpg|mb-cs-023-4.jpg,
mb-cs-025,mb-cs-025.jpg|mb-cs-025-1.jpg,
mb-cs-026,mb-cs-026.jpg|mb-cs-026-1.jpg,
mb-cs-027,mb-cs-027.jpg|mb-cs-027-1.jpg,
mb-cs-029,mb-cs-029.jpg|mb-cs-029-1.jpg,
mb-cs-030,mb-cs-030.jpg|mb-cs-030-1.jpg,
mb-cs-031,mb-cs-031.jpg|mb-cs-031-1.jpg,
mb-cs-032,mb-cs-032.jpg|mb-cs-032-1.jpg,
mb-cs-036,mb-cs-036.jpg|mb-cs-036-1.jpg|mb-cs-036-3.jpg|mb-cs-036-4.jpg,
mb-cs-044,mb-cs-044.jpg|mb-cs-044-1.jpg|mb-cs-044-2.jpg,
mb-cs-045,mb-cs-045.jpg|mb-cs-045-1.jpg,
mb-cs-047,mb-cs-047.jpg|mb-cs-047-1.jpg,
mb-cs-048,mb-cs-048.jpg|mb-cs-048-1.jpg,
mb-cs-049,mb-cs-049.jpg|mb-cs-049-1.jpg,
mb-cs-050,mb-cs-050.jpg|mb-cs-050-1.jpg,
mb-cs-051,mb-cs-051.jpg|mb-cs-051-1.jpg,
mb-cs-056,mb-cs-056.jpg|mb-cs-056-1.jpg,
mb-cs-057,mb-cs-057.jpg|mb-cs-057-1.jpg,
mb-cs-058,mb-cs-058.jpg|mb-cs-058-1.jpg,
mb-cs-059,mb-cs-059.jpg|mb-cs-059-1.jpg,
mb-cs-061,mb-cs-061.jpg|mb-cs-061-1.jpg|mb-cs-061-2.jpg,
mb-cs-063,mb-cs-063.jpg|mb-cs-063-1.jpg|mb-cs-063-2.jpg|mb-cs-063-3.jpg,
mb-cs-064,mb-cs-064.jpg|mb-cs-064-1.jpg,
mb-cs-065,mb-cs-065.jpg|mb-cs-065-1.jpg|mb-cs-065-2.jpg,
mb-cs-066,mb-cs-066.jpg|mb-cs-066-1.jpg,
mb-cs-069,mb-cs-069.jpg|mb-cs-069-1.jpg|mb-cs-069-3.jpg|mb-cs-069-4.jpg,
mb-cs-072,mb-cs-072.jpg|mb-cs-072-1.jpg,
mb-cs-074,mb-cs-074.jpg|mb-cs-074-1.jpg,
mb-cs-075,mb-cs-075.jpg|mb-cs-075-1.jpg,
mb-cs-076,mb-cs-076.jpg|mb-cs-076-1.jpg,
mb-cs-077,mb-cs-077.jpg|mb-cs-077-1.jpg,
mb-cs-078,mb-cs-078-1.jpg|mb-cs-078-2.jpg|mb-cs-078-3.jpg|mb-cs-078-4.jpg,
mb-cs-079,mb-cs-079.jpg|mb-cs-079-1.jpg,
mb-cs-082,mb-cs-082.jpg|mb-cs-082-1.jpg,
mb-cs-086,mb-cs-086.jpg|mb-cs-086-1.jpg|mb-cs-086-2.jpg,
MB-CS-102,MB-CS-102.jpg|mb-CS-102-1.jpg,
