store,websites,sku,cost,price,category_ids
"store_us,global_m_sv","app_us,global_m_web",NA03XS,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA03S,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA03M,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA03L,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA03XL,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA03,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA04XS,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA04S,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA04M,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA04L,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA04XL,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA04,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA05XS,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA05S,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA05M,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA05L,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA05XL,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA05,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA06XS,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA06S,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA06M,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA06L,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA06XL,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA06,3249,109,"15,17,69,19,37"
"store_us,global_m_sv","app_us,global_m_web",NA07,5200,169,"15,17,69,19,14"
"store_us,global_m_sv","app_us,global_m_web",NA08,5200,169,"15,17,69,19,14"
"store_us,global_m_sv","app_us,global_m_web",NA09XS,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA09S,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA09M,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA09L,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA09XL,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA09,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA10XS,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA10S,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA10M,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA10L,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA10XL,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA10,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA11XS,1300,49,"15,17,69,19,53"
"store_us,global_m_sv","app_us,global_m_web",NA11S,1300,49,"15,17,69,19,53"
