store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_code,warehouse_code
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8422,0,Rose Gold Black Onyx Necklace,rose-gold-black-onyx-necklace-nit8422,"Black, Rose Gold",Necklace,jewelry/fashion/necklaces,8422,25,25 days,Nitin,,3000,1100,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Black, Rose Gold</li><li>Measurements (inches): Free Size</li><li>Material(s): Black Onyx, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Black Onyx, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8437,0,"Blue, Green Gold Tone Necklace","blue,-green-gold-tone-necklace-nit8437","Blue, Green, Golden",Necklace,jewelry/fashion/necklaces,8437,25,25 days,Nitin,,5000,3000,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Blue, Green, Golden</li><li>Measurements (inches): Free Size</li><li>Material(s): Semi-precious Stones, Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Semi-precious Stones, Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8436,0,Multicolored Black Onyx Necklace,multicolored-black-onyx-necklace-nit8436,Multicolor,Necklace,jewelry/fashion/necklaces,8436,25,25 days,Nitin,,3500,1600,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Semi-precious Stones, Black Onyx, Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Semi-precious Stones, Black Onyx, Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8627,0,Tribal Silver Tone Necklace,tribal-silver-tone-necklace-nit8627,"Silver, Black",Necklace,jewelry/fashion/necklaces,8627,25,25 days,Nitin,,1500,350,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Silver, Black</li><li>Measurements (inches): Free Size</li><li>Material(s): Semi-precious Stones, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Semi-precious Stones, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8681,0,Contemporary Rose Gold Necklace,contemporary-rose-gold-necklace-nit8681,"Blue, Black, Rose Gold",Necklace,jewelry/fashion/necklaces,8681,25,25 days,Nitin,,2000,750,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Blue, Black, Rose Gold</li><li>Measurements (inches): Free Size</li><li>Material(s): Semi-precious Stones, Beads, Crystals, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Semi-precious Stones, Beads, Crystals, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8687,0,Rose Quartz Necklace with Crystals,rose-quartz-necklace-with-crystals-nit8687,"Pink, Rose Gold",Necklace,jewelry/fashion/necklaces,8687,25,25 days,Nitin,,2000,550,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Pink, Rose Gold</li><li>Measurements (inches): Free Size</li><li>Material(s): Rose Quartz, Crystals, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Rose Quartz, Crystals, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,6",NIT8468,0,Black Onyx Gold Tone Necklace,black-onyx-gold-tone-necklace-nit8468,"Red, Black, Golden",Necklace,jewelry/fashion/necklaces,8468,25,25 days,Nitin,,2000,750,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Red, Black, Golden</li><li>Measurements (inches): Free Size</li><li>Material(s): Semi-precious Stones, Black Onyx, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Semi-precious Stones, Black Onyx, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8523,0,Black Onyx Bracelet,black-onyx-bracelet-nit8523,"Black, Rose Gold",Bracelet,jewelry/fashion/bracelets,8523,25,25 days,Nitin,,1125,450,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Black, Rose Gold</li><li>Measurements (inches): Free Size</li><li>Material(s): Black Onyx, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Black Onyx, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8528,0,Multicolored Layered Bracelet,multicolored-layered-bracelet-nit8528,Multicolor,Bracelet,jewelry/fashion/bracelets,8528,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,Metal,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8532,0,Boho Multicolored Layered Bracelet with Beads,boho-multicolored-layered-bracelet-with-beads-nit8532,Multicolor,Bracelet,jewelry/fashion/bracelets,8532,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Metal, Beads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Metal, Beads",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
