store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_in,india_m_sv","app_in,india_m_web",SH1595GRES,8500,17000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH1595GREM,8500,17000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH1595GREL,8500,17000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH1595GREXL,8500,17000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH1595GRE,8500,17000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2172CRES,9999,19998,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2172CREM,9999,19998,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2172CREL,9999,19998,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2172CREXL,9999,19998,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2172CRE,9999,19998,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244PINS,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244PINM,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244PINL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244PINXL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244PIN,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267GRES,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267GREM,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267GREL,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267GREXL,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267GRE,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIS,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIM,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIL,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIXL,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2267BEI,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2214GRES,8000,16000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2214GREM,8000,16000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2214GREL,8000,16000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2214GREXL,8000,16000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2214GRE,8000,16000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2214PEAS,8000,16000,30,4 to 5 Weeks
