store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,10",INS74480,0,Gold-Plated Silver Engraved Temple Earrings,gold-plated-silver-engraved-temple-earrings-ins74480,Gold,Earrings,jewelry/silver/earrings,INS74480,30,30 days,Prateek,,14850,4480,2,4,0,ONESIZE,0,0,1,Non Returnable,"handcrafted in South India, gold-plated silver engraved temple earrings adorned with Nakashi work, coins, idol motif and jhumka drop<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,10",INS23780,0,Floral Gold-Plated Silver Engraved Nakashi Earrings,floral-gold-plated-silver-engraved-nakashi-earrings-ins23780,Gold,Earrings,jewelry/silver/earrings,INS23780,30,30 days,Prateek,,12550,3780,2,4,0,ONESIZE,0,0,1,Non Returnable,"handcrafted in South India, gold-plated silver engraved temple earrings adorned with Nakashi work, coins and idol and floral motifs<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,11",INS142450,0,Jadau Gold-Plated Silver Pearl Pendant with Chain (Set of 2),jadau-gold-plated-silver-pearl-pendant-with-chain-(set of 2)-ins142450,Gold,Pendant with chain,jewelry/silver/pendants,INS142450,30,30 days,Prateek,,11450,2450,2,4,0,ONESIZE,0,0,1,Non Returnable,Jadau silver pendant handcrafted by skilled artisans in South India featuring semi precious stones and pearls<ul><li>Color: Gold</li></ul>,,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,11",INS92940,0,Jadau Gold-Plated Handcrafted Silver Bead Pendant with Chain (Set of 2),jadau-gold-plated-handcrafted-silver-bead-pendant-with-chain-(set of 2)-ins92940,Gold,Pendant with chain,jewelry/silver/pendants,INS92940,30,30 days,Prateek,,13100,2940,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by nature, Jadau silver pendant handcrafted by skilled artisans in South India featuring semi precious stones and beads<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,11",INS165010,0,Floral Jadau Gold-Plated Silver Pendant with Chain (Set of 2),floral-jadau-gold-plated-silver-pendant-with-chain-(set of 2)-ins165010,Gold,Pendant with chain,jewelry/silver/pendants,INS165010,30,30 days,Prateek,,20000,5010,2,4,0,ONESIZE,0,0,1,Non Returnable,Jadau silver floral pendant handcrafted by skilled artisans in South India featuring semi precious stones and bead drop<ul><li>Color: Gold</li></ul>,,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,10",INS12520,0,Floral Gold-Plated Silver Temple Earrings with Ghungroos and Nakashi Work ,floral-gold-plated-silver-temple-earrings-with-ghungroos-and-nakashi-work-ins12520,Gold,Earrings,jewelry/silver/earrings,INS12520,30,30 days,Prateek,,8400,2520,2,4,0,ONESIZE,0,0,1,Non Returnable,"handmade in South India, gold-plated silver temple earrings with floral engravings, ghungroos and Nakashi work<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,10",INS54830,0,Gold-Plated Silver Engraved Coin Earrings,gold-plated-silver-engraved-coin-earrings-ins54830,Gold,Earrings,jewelry/silver/earrings,INS54830,30,30 days,Prateek,,16000,4830,2,4,0,ONESIZE,0,0,1,Non Returnable,"handcrafted in South India, gold plated silver engraved temple earrings adorned with Nakashi work, coins, idol motifs and semi precious stones<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,10",INS33080,0,Peacock Gold-Plated Silver Engraved Coin Earrings,peacock-gold-plated-silver-engraved-coin-earrings-ins33080,Gold,Earrings,jewelry/silver/earrings,INS33080,30,30 days,Prateek,,10250,3080,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by peacock, gold-plated silver engraved temple earrings featuring hand hammered coins and semi precious stones handcrafted in South India<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,11",INS102940,0,Flower Jadau Gold-Plated Silver Pendant with Chain (Set of 2),flower-jadau-gold-plated-silver-pendant-with-chain-(set of 2)-ins102940,Gold,Pendant with chain,jewelry/silver/pendants,INS102940,30,30 days,Prateek,,13100,2940,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by flowers, Jadau silver pendant handcrafted by skilled artisans in South India featuring semi precious stones and bead drop<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,9,10",INS42730,0,Gold-Plated Silver Engraved Temple Earrings with Coins,gold-plated-silver-engraved-temple-earrings-with-coins-ins42730,Gold,Earrings,jewelry/silver/earrings,INS42730,30,30 days,Prateek,,9050,2730,2,4,0,ONESIZE,0,0,1,Non Returnable,"gold-plated silver engraved temple earrings featuring hand hammered coins, idol motif and semi precious stones handcrafted in South India<ul><li>Color: Gold</li></ul>",,92.5 Sterling Silver,10,0,10,0,0,10,10,10,0,10,1,10,0,1,1,,,,,,,,0,Indiancultr,,,,,Women,10,10,
