store,websites,sku,cost,price,description,name
"store_in,india_m_sv","app_in,india_m_web",SUT201007,750,1899,"This steel and metal bathroom set includes a soap dish, lotion/soap pump dispenser, toothbrush holder (holds up to 4 toothbrushes), and a tumbler.<ul><li>Color: Copper</li><li>Measurements (inches): NA</li><li>Material(s): Steel, Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Steel & Metal Bathroom Accessories (Set of 4)
"store_in,india_m_sv","app_in,india_m_web",SUT161046,468,1199,"A candle accessory cum tableware marvel, this golden metal crowned candle holder with swastika design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Swastika Design (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT161048,468,1199,"A candle accessory cum tableware marvel, this golden metal crowned candle holder with goddess Lakshmi design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Goddess Lakshmi Design (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT161049,468,1199,"A candle accessory cum tableware marvel, this golden metal crowned candle holder with idol motif will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Idol Motif (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT161033,468,1199,"A candle accessory cum tableware marvel, this golden metal crowned candle holder with lord Ganesha design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Lord Ganesha Design (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT161044,468,1199,"A candle accessory cum tableware marvel, this golden metal crowned candle holder with aum design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Aum Design (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT161045,468,1199,"A candle accessory cum tableware marvel, this golden metal crowned candle holder with kalash design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Kalash Design (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT211078-211079,425,1199,"Illuminate your home with these metal lanterns handcrafted in metal with intricate cutouts.<ul><li>Color: Pink, Blue</li><li>Measurements (inches): Dia-8'', H-8''</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Samtida Pink, Blue Metal Lanterns (Set of 2)"
"store_in,india_m_sv","app_in,india_m_web",SUT211071,404,1199,"Beautify your home with this metal lantern handcrafted in metal with intricate cutouts and Buddha design.<ul><li>Color: Grey, Brown</li><li>Measurements (inches): H-10'', L-6.25'', W-6.25''</li><li>Material(s): Metal, Patina</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Mourad Grey, Brown Lantern with Buddha Design"
"store_in,india_m_sv","app_in,india_m_web",SUT711011,1380,3399,"Numbers written in bold, vintage style from the golden years, this metal pace clock is a timeless addition to your décor.<ul><li>Color: Silver, White</li><li>Measurements (inches): Dia-12” </li><li>Material(s): Metal, Nickle</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Vintage Metal Pace Clock
