store,websites,sku,cost,price,description,name,url_key
store_in,app_in,SUT201007,750,1999,"This steel and metal bathroom set includes a soap dish, lotion/soap pump dispenser, toothbrush holder (holds up to 4 toothbrushes), and a tumbler.<ul><li>Color: Copper</li><li>Measurements (inches): NA</li><li>Material(s): Steel, Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Steel & Metal Bathroom Accessories (Set of 4),steel-&-metal-bathroom-accessories-(set4)-SUT201007
store_in,app_in,SUT161046,468,1999,"A candle accessory cum tableware marvel, these golden metal crowned candle holders with swastika design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Swastika Design (Set of 12),golden-metal-crowned-candle-holders-with-swastika-design-(set12)-SUT161046
store_in,app_in,SUT161048,468,1999,"A candle accessory cum tableware marvel, these golden metal crowned candle holders with goddess Lakshmi design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Goddess Lakshmi Design (Set of 12),golden-metal-crowned-candle-holders-with-goddess-lakshmi-design-(set12)-SUT161048
store_in,app_in,SUT161049,468,1999,"A candle accessory cum tableware marvel, these golden metal crowned candle holders with idol motif will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Idol Motif (Set of 12),golden-metal-crowned-candle-holders-with-idol-motif-(set12)-SUT161049
store_in,app_in,SUT161033,468,1999,"A candle accessory cum tableware marvel, these golden metal crowned candle holders with lord Ganesha design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Lord Ganesha Design (Set of 12),golden-metal-crowned-candle-holders-with-lord-ganesha-design-(set12)-SUT161033
store_in,app_in,SUT161044,468,1999,"A candle accessory cum tableware marvel, these golden metal crowned candle holders with aum design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Aum Design (Set of 12),golden-metal-crowned-candle-holders-with-aum-design-(set12)-SUT161044
store_in,app_in,SUT161045,468,1999,"A candle accessory cum tableware marvel, these golden metal crowned candle holders with kalash design will add positive vibes to your home.<ul><li>Color: Golden</li><li>Measurements (inches): B Dia-3, H-4</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Golden Metal Crowned Candle Holders with Kalash Design (Set of 12),golden-metal-crowned-candle-holders-with-kalash-design-(set12)-SUT161045
store_in,app_in,SUT211078-211079,425,1999,"Illuminate your home with these metal lanterns handcrafted in metal with intricate cutouts.<ul><li>Color: Pink, Blue</li><li>Measurements (inches): Dia-8'', H-8''</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Samtida Pink, Blue Metal Lanterns (Set of 2)","samtida-pink,-blue-metal-lanterns-(set2)-SUT211078-211079"
store_in,app_in,SUT211071,404,1199,"Beautify your home with this metal lantern handcrafted in metal with intricate cutouts and Buddha design.<ul><li>Color: Grey, Brown</li><li>Measurements (inches): H-10'', L-6.25'', W-6.25''</li><li>Material(s): Metal, Patina</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Mourad Grey, Brown Lantern with Buddha Design","mourad-grey,-brown-lantern-with-buddha-design-SUT211071"
store_in,app_in,SUT711011,1380,3499,"Numbers written in bold, vintage style from the golden years, this metal pace clock is a timeless addition to your décor.<ul><li>Color: Silver, White</li><li>Measurements (inches): Dia-12” </li><li>Material(s): Metal, Nickle</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Vintage Metal Pace Clock,vintage-metal-pace-clock-SUT711011
