store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_us,global_m_sv","app_us,global_m_web",RPSC11157,10738,260,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11159,7455,181,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10626,20780,504,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11367,13867,336,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11684,14600,354,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10345,11510,279,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSB11652,6528,158,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC09462,9193,223,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC10350,6683,162,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11260,4906,119,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSR11655,1893,59,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSE11654,3052,74,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11206,12283,298,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11736,6528,158,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11431,15064,365,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11685,18463,448,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11259,33140,803,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSE11212,5215,126,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11158,8459,205,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11735,4983,121,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11566,5910,143,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10687,16918,410,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11207,9193,223,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11286,16918,410,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN07302,6142,149,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10792,9965,242,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11572,12322,299,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11291,7687,186,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10949,18463,448,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN11316,9193,223,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN09707,13828,335,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10614,9232,224,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC10363,14600,354,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN09463,9965,242,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN10791,10738,260,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSN06915,11201,272,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSA06299,7687,186,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC06931,7687,186,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11153,6142,149,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSC11152,8884,215,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSC10347,4365,106,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSE09603,6142,149,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSE10129,4211,102,7,7 days
"store_us,global_m_sv","app_us,global_m_web",RPSE09315,3361,81,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSE07677,3052,74,18,18 days
"store_us,global_m_sv","app_us,global_m_web",RPSN08497,11201,272,18,18 days
